strategy,seconds,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
class weights,8.7,0.9984799999999999,0.0003128364855106903,0.994848043567699,0.0013469395930713892,0.9962464673063751,0.0012228336566369067,0.9955459431622059,0.0009160653515891146
SMOTE,32.2,0.9983133333333334,0.0003767698973585097,0.994379034774632,0.0013059146246084904,0.9957381675830747,0.0016872823648808328,0.9950570763994048,0.0011054649794800704
undersample (majority only),5.9,0.9982199999999999,0.0003691431519974976,0.9953430967028004,0.0011172555378920917,0.9942133142736989,0.0017824411511455753,0.994776840648388,0.0010852006815533436
baseline,10.9,0.9982133333333333,0.00041771867194190373,0.9962747695173476,0.0011101488026503473,0.9932358430276752,0.0018206089943395962,0.9947522114419717,0.0012288541663031595
undersample (to minority),2.5,0.9979333333333334,0.0003896437118987268,0.9907942757549835,0.0015913148549116666,0.9971457509420326,0.000930264476780948,0.9939594503350583,0.0011370226293930307
