model,baseline_cv_f1,baseline_cv_std,tuned_cv_f1,tuned_cv_std,gain,search_minutes
Random Forest,0.994928595144934,0.0011799633890697938,0.9954608981911178,0.0011882550160544183,0.0005323030461837908,23.12
XGBoost,0.9965621040086546,0.000532789190417758,0.9966798040638113,0.0007413425207350917,0.00011770005515665538,5.41
