model,baseline_cv_f1,baseline_cv_std,tuned_cv_f1,tuned_cv_std,gain,search_minutes
Random Forest,0.9292764232388216,0.009911037439888028,0.9376260329187532,0.006939094626112076,0.008349609679931591,21.09
XGBoost,0.9549135540068692,0.025965815138434156,0.9666705241207113,0.012080157174912499,0.011756970113842136,14.22
