,fold1,fold2,fold3,fold4,fold5,mean,spread,train_rows
BENIGN,0.998926048045219,0.9987095315693791,0.9988508562063184,0.9987189631136731,0.998898211712857,0.9988207221294892,0.00021651647583986744,265465
DoS,0.9955770004020909,0.9947696640514987,0.9949688066009258,0.9960713206406769,0.995056995864017,0.9952887575118418,0.0013016565891782461,24818
DDoS,0.9986282578875172,0.9981684981684982,0.9989327641408752,0.9987801158889905,0.9987801158889905,0.9986579503949743,0.0007642659723769984,16397
PortScan,0.9911998282893325,0.9879776728209532,0.9903288201160542,0.9882302589343035,0.9916110991611099,0.9898695358643506,0.0036334263401567313,11618
Brute Force,0.9935760171306209,0.9914893617021276,0.9978586723768736,0.9936305732484076,1.0,0.9953109248916059,0.008510638297872353,1172
Web Attack,0.9636363636363636,0.9642857142857143,0.972972972972973,0.8990825688073395,0.9642857142857143,0.9528526667976209,0.07389040416563353,274
Bot,0.8349514563106796,0.8,0.7572815533980582,0.7551020408163265,0.7572815533980582,0.7809233207846245,0.0798494154943531,250
Infiltration,0.8333333333333334,0.9230769230769231,0.9090909090909091,0.8,0.6666666666666666,0.8264335664335665,0.2564102564102565,29
Heartbleed,1.0,1.0,1.0,1.0,1.0,1.0,0.0,9
