strategy,seconds,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
undersample (majority only),7.8,0.9979133023993813,0.00041098141719988644,0.9590317542081469,0.0017016983804155632,0.9241140103864686,0.008497917055181754,0.936925545248255,0.004756270711043802
baseline,31.6,0.9978266351993706,0.00026400878238138714,0.9834937918729162,0.00300318520309658,0.9003259147083726,0.01519829707586196,0.9325264492734816,0.010244210039825306
class weights,10.1,0.9967066214657626,0.000173103281594381,0.9143202719273233,0.0008046668855712516,0.9569784130967948,0.01336994084646145,0.9180302840385743,0.010483011852855455
undersample (to minority),5.2,0.5123803960079202,0.05853460204164404,0.2942034123148302,0.019542469551187835,0.8008560126636936,0.00697714105683557,0.29124565164441885,0.02705561885820253
