settings,experiment,accuracy,precision,recall,f1,roc_auc,pr_auc,fit_seconds,predict_seconds
default,A (binary),0.9989751024897511,0.9959762967298266,0.9980206729711898,0.9969974368363237,0.9999687119001274,0.9998425696959702,4.47,0.11
tuned,A (binary),0.9989751024897511,0.996048876856662,0.9979473645627154,0.996997216932767,0.9999705101747067,0.9998522313186453,3.36,0.08
default,B (multi),0.9988126187381262,0.9778099721345117,0.9442941402373989,0.9582806810488488,0.9999733298451327,0.9874743554081695,37.9,0.66
tuned,B (multi),0.9987126287371263,0.9822656815490254,0.939033167597048,0.9577441581909348,0.9999743155596248,0.9860390697938585,59.12,0.85
